"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Sox17",9.37119294164765,0.914889947034343,16.6047281427068,0.0550981587395748,0.956060263031224,0.997111559487574
"Mrpl15",812.316851757007,0.78198416544756,0.972005755192904,0.804505694816969,0.421104981761039,0.937543405773179
"Lypla1",2323.12978374248,-0.38767509461206,0.617404408530406,-0.627911121552945,0.530062164953399,0.953024058611076
"Tcea1",2079.60461279513,-0.136099328290197,0.617937245341951,-0.220247815318015,0.825678159533918,0.994662541437292
"Rgs20",445.228192291158,0.383662805925568,1.00638913733801,0.381227093667157,0.703034746567312,0.980914226864415
"Atp6v1h",2377.91322728712,0.312503115888643,0.676546584789314,0.461909235689899,0.644146410633001,0.969808060643975
"Npbwr1",148.208768059345,-2.00767137783114,0.998192139746338,-2.01130754079203,0.0442929824939828,0.667208921689549
"Rb1cc1",3243.81655082618,0.0154614175855121,0.88505301920165,0.0174694817712264,0.98606207914872,0.998214691925142
"Pcmtd1",2580.58299253353,-0.0897900339302516,0.765215516149164,-0.11733953642512,0.906590995878118,0.997111559487574
"Rrs1",462.032938846144,-1.04256033608034,0.611646389736116,-1.70451482028714,0.0882849496989475,0.795814704919576
"Adhfe1",25.9528118715676,-0.535139069702451,2.59169383557803,-0.206482363910511,0.836414139483886,0.995701818228851
"2610203C22Rik",15.991212499672,-0.0493454232099163,1.75244892677243,-0.0281579807868056,0.977536150398495,0.997808855307996
"3110035E14Rik",5.09121786527285,2.1445158555203,2.90963513506888,0.737039441706334,0.461098364251326,0.946568807406789
"Mybl1",92.0339866081872,-3.35089235584198,1.17781123148758,-2.84501647314893,0.00444091263250502,0.315592003438636
"Vcpip1",492.314945747503,-1.58208605741034,0.600547199114709,-2.63440751991277,0.00842842605990444,0.390170120827323
"Sgk3",550.864464519574,0.467876394220786,0.476606952986709,0.98168184767089,0.326256610902448,0.925058629550363
"Snhg6",442.48994821434,0.61753970993013,1.30924664507954,0.471675609978447,0.637158348758337,0.969808060643975
"Snord87",17.9843519020119,-0.38760463234148,1.53732856883498,-0.252128686215215,0.800941597646786,0.99000091798564
"Tcf24",23.579058440123,0.594760075695218,1.76876634656905,0.336257005821542,0.73667706850822,0.980962926423957
"Cops5",1851.91098434224,0.294432534788879,0.681084601996137,0.432299502772416,0.665523748508262,0.972943634066366
"Cspp1",273.73711529366,-0.186512868241992,0.94977233440569,-0.196376396200991,0.84431556966515,0.996643271197916
"Arfgef1",2265.37937932875,-0.808758934657109,0.400462474642614,-2.0195623457076,0.043428804240379,0.66195631985771
"Prex2",75.9297086988093,-0.423996093636951,1.63722343612472,-0.258972651063769,0.795656342102253,0.989035021520229
"Sulf1",27.8952897949527,-5.23438640394514,4.2571031881366,-1.2295653106394,0.218859926858644,0.880757930493264
"Slco5a1",45.0252107606833,3.66722762238681,2.31710641318637,1.58267553079007,0.113495438236004,0.8200805783964
"Ncoa2",1571.78557745317,-0.493770272050753,0.806591436958534,-0.612168998362596,0.540425950586975,0.954505328631016
"Tram1",1491.67848096884,-0.801063758450081,0.739252532224113,-1.08361314101962,0.278536361839518,0.914781169365204
"Lactb2",300.849384081843,0.038158260298399,0.698527953817551,0.054626676126358,0.95643588600899,0.997111559487574
"Xkr9",14.3859301814673,-0.896279392632793,2.1835562225462,-0.410467742198853,0.681462861933135,0.975564072166201
"Eya1",18.1423963307709,3.60094034343374,3.1249889563912,1.15230498209254,0.249195770425725,0.895626584398842
"Terf1",198.631776074713,0.879558231692101,0.521839452929139,1.6854958488766,0.0918929450391888,0.797688920244668
"Sbspon",4.33014254002854,1.77070185532166,4.08605585060019,0.433352337820239,0.664758820806925,0.972869177836679
"Rpl7",25145.312277756,0.0467063402063587,0.630520631398422,0.0740758317499769,0.940950045885082,0.997111559487574
"Rdh10",361.67922572465,-0.667379244459554,0.700815510708976,-0.952289488833379,0.340950187099843,0.928900548429975
"Stau2",129.10050001343,-1.19599840595851,1.40259058123045,-0.852706714249642,0.393821966558983,0.936111331454793
"Ube2w",504.768070431488,-0.178398537639792,0.462932689826216,-0.385366040377841,0.699966239190011,0.980244128764383
"Tceb1",1313.60135198542,0.155430676702302,0.905441588183859,0.17166284245245,0.863702599529363,0.997111559487574
"Tmem70",572.514692619557,-0.182683584161672,0.952435161785654,-0.191806845748084,0.84789350840046,0.996643271197916
"Ly96",65.6795434080667,0.854113265301682,1.04390296659025,0.818192200460464,0.413247448044062,0.936529254308845
"Jph1",231.357027143635,-1.48429821902812,1.77135061414405,-0.837947161434986,0.402060379839042,0.936529254308845
"Gdap1",5.74955525211975,4.94619575079211,5.51088679671379,0.897531728240468,0.36943525083412,0.935710176599975
"Pi15",403.396128523466,-1.61322147643196,2.24328885505597,-0.719132301128339,0.472059406791658,0.947451244268325
"Crispld1",13.8324936815506,-2.37098651439887,4.98049221887331,-0.476054656889965,0.634035439424818,0.969783215287895
"Tfap2b",122.79516753624,0.182327383300748,1.11221151471707,0.163932292453499,0.869784445277345,0.997111559487574
"Mcm3",301.878174533484,-1.16423718246942,1.22423087675685,-0.9509947874813,0.341607021933793,0.928900548429975
"Paqr8",747.766867816258,-1.08155117066779,0.872784388200151,-1.23919628408817,0.215272816369989,0.880757930493264
"Efhc1",11.07043643373,2.57753827294442,1.90850278727001,1.35055515251902,0.176837975180375,0.868830317183552
"Tram2",5.97220263783122,0.62355882223147,4.19334445526748,0.148702027434971,0.88178876136522,0.997111559487574
"Tmem14a",18.1492807078958,-0.979160024928058,1.69287611805352,-0.578400282504962,0.562993903269729,0.959074586424771
