"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Sox17",9.37119294164765,1.01828411263379,16.2286381110153,0.0627461223590057,0.949968669395573,0.986797495556961
"Mrpl15",812.316851757007,-0.827098312606913,0.969945418163897,-0.852726655663374,0.393810905348508,0.700503585245607
"Lypla1",2323.12978374248,-0.924518821590541,0.61744509314097,-1.49732961175134,0.134307513475451,0.426617339434524
"Tcea1",2079.60461279513,0.0473221122663104,0.618091195710176,0.0765616993005994,0.93897222901275,0.98252092708808
"Rgs20",445.228192291158,2.45157433395112,1.03158721261737,2.37650709893051,0.0174774250893506,0.149908361908417
"Atp6v1h",2377.91322728712,0.0111631190604057,0.676827833999236,0.016493291941682,0.98684085361649,0.997251780992361
"Npbwr1",148.208768059345,-4.11807110977485,1.00628823865593,-4.09233751482102,4.27046467773923e-05,0.00376375281626947
"Rb1cc1",3243.81655082618,1.11529209642942,0.886283297675369,1.25839232145604,0.208249907490256,0.526334790505726
"Pcmtd1",2580.58299253353,0.973434659305193,0.766373181479494,1.27018361658476,0.204019232138156,0.522319353834572
"Rrs1",462.032938846144,-1.25131554692714,0.608647478002269,-2.05589539454638,0.0397926001400757,0.233442692374885
"Adhfe1",25.9528118715676,-1.91728095582766,2.12952127604967,-0.900334256995205,0.367942395738142,0.678627073799885
"2610203C22Rik",15.991212499672,-0.658173401725705,1.75076883175991,-0.375933926733259,0.706966017542345,0.891008935472544
"3110035E14Rik",5.09121786527285,1.97357408204231,2.80251425736321,0.704215536765611,0.481298556826369,0.762178265202292
"Mybl1",92.0339866081872,-5.73705364975415,1.17882451885703,-4.86675799322254,1.13443802710531e-06,0.000294777853560415
"Vcpip1",492.314945747503,-1.40378882843596,0.597913130147811,-2.34781401788071,0.0188839478111288,0.154804261287461
"Sgk3",550.864464519574,0.758917918336554,0.471879494122048,1.60828755601799,0.107772214779888,0.383225397246632
"Snhg6",442.48994821434,-0.547249450311067,1.30619322656897,-0.418965157053027,0.675241596873544,0.875252954887862
"Snord87",17.9843519020119,1.99237824792642,1.57752583720242,1.26297661879167,0.206597582571362,0.524357050679183
"Tcf24",23.579058440123,1.96102048307048,1.7379733930502,1.12833745954466,0.259177429123471,0.582101170730905
"Cops5",1851.91098434224,-0.833870809669399,0.680115881895319,-1.22607166200207,0.220171708746544,0.541571376288423
"Cspp1",273.73711529366,-0.550406459302076,0.947428148287715,-0.580947969824229,0.561275520779764,0.814591548540665
"Arfgef1",2265.37937932875,-0.781991605311311,0.400963973413509,-1.95027897058685,0.0511428777457885,0.265322476279371
"Prex2",75.9297086988093,0.458623420227504,1.59806586415039,0.286986557009859,0.774122613437924,0.922196865248324
"Sulf1",27.8952897949527,2.48586880823012,3.34284927598197,0.74363771830541,0.457095677935587,0.747573512986049
"Slco5a1",45.0252107606833,9.84655583039524,2.17488992451767,4.52738123405438,5.97191446636655e-06,0.000937528363777191
"Ncoa2",1571.78557745317,0.333262438262351,0.809656955238084,0.411609430520304,0.680625718290325,0.87795348731503
"Tram1",1491.67848096884,0.235769090926879,0.739200048119838,0.318951671508356,0.749763160718768,0.910486515446492
"Lactb2",300.849384081843,-1.07608764459203,0.693321192682074,-1.5520766651157,0.120643880683092,0.403753736168436
"Xkr9",14.3859301814673,-1.85932715540621,1.95763173161324,-0.949783927886158,0.342222054039855,0.657037845225372
"Eya1",18.1423963307709,4.29890751798361,2.57149057486339,1.67175705795149,0.0945722377471853,0.359905065602575
"Terf1",198.631776074713,-0.416370506699874,0.513265419413119,-0.811218700796098,0.417240088111243,0.718490101453902
"Sbspon",4.33014254002854,-1.5621452486704,3.74912021052347,-0.416669821438531,0.676919931166155,NA
"Rpl7",25145.312277756,-0.332487474220859,0.630483752857646,-0.527352961458357,0.59794850227457,0.835179926813942
"Rdh10",361.67922572465,-0.566687808159175,0.702019672080938,-0.807224969179837,0.419536882633473,0.720141270862081
"Stau2",129.10050001343,-0.339364313847935,1.36589690326349,-0.248455291930968,0.80378215756819,0.933913748848837
"Ube2w",504.768070431488,-0.563363617029412,0.460073214535117,-1.22450862000011,0.220760416529359,0.542422609773351
"Tceb1",1313.60135198542,-1.38967050683049,0.903964799344816,-1.53730599669115,0.124218393687936,0.409828242397304
"Tmem70",572.514692619557,-2.34196808835913,0.947759025569772,-2.47105859735938,0.0134713742750475,0.130145565191821
"Ly96",65.6795434080667,-0.685712836869634,1.01264931931423,-0.677147383394285,0.498312447808707,0.773459641824145
"Jph1",231.357027143635,-1.75823354105778,1.69356351911946,-1.03818576699854,0.29918357765922,0.621256252454534
"Gdap1",5.74955525211975,-2.08027400528263,4.53085550531888,-0.459134925587573,0.646137277600269,0.861992999089461
"Pi15",403.396128523466,-3.45628655394195,2.22998662025958,-1.54991358357999,0.121162258889688,0.404437741689144
"Crispld1",13.8324936815506,-5.48168214902601,3.80954644178686,-1.43893301546282,0.150169502227341,0.450209780797347
"Tfap2b",122.79516753624,-0.432454374665005,1.10519619341531,-0.391291950914727,0.695581447793133,0.885613672322861
"Mcm3",301.878174533484,-3.11993253207047,1.21606934598351,-2.56558767999138,0.0103001185372243,0.113308822244166
"Paqr8",747.766867816258,2.91343964552024,0.907172090845002,3.21156225474977,0.00132015363679271,0.0344250187280279
"Efhc1",11.07043643373,4.94699550717791,1.79271743326753,2.75949539809025,0.00578907024745961,0.0819565711587648
"Tram2",5.97220263783122,2.32838954998851,3.45465561844436,0.673986008202168,0.500320209190612,0.774717545742496
"Tmem14a",18.1492807078958,-2.4528712183715,1.61512362424314,-1.51868945606002,0.128840681882774,0.417666945993604
