gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Tmem81,87.17520516,-1.532054531,0.629844499,-2.432432978,0.014997767,0.077793007
Cntn2,8.560693703,-3.936653912,1.788624104,-2.200939764,0.027740288,0.118559648
Nfasc,11.05304718,-5.650292044,2.426174708,-2.328889188,0.019864937,0.09383688
Lrrn2,4.021400967,-6.399713807,2.964564782,-2.158736367,0.030870626,0.12750622
Mdm4,1742.35365,-0.960219909,0.654544295,-1.467005239,0.14237463,0.339784971
Pik3c2b,167.3010445,-0.115517415,0.460766092,-0.250707282,0.80204043,0.904467026
Ppp1r15b,1660.135855,0.721932922,0.35594835,2.028195725,0.042540276,0.159145195
Plekha6,536.5400485,-0.211726751,0.429130191,-0.49338582,0.621739999,0.803409882
Sox13,33.25853375,0.392818614,1.030412888,0.381224477,0.703036688,0.854418066
Snrpe,1246.544924,1.690075725,0.95297258,1.773477811,0.076149566,0.228895496
Zc3h11a,2884.575816,0.127593584,0.674118739,0.189274643,0.849877568,0.933352321
Zbed6,401.7111497,4.102140707,1.771264255,2.315939417,0.020561577,0.096021253
Lax1,91.84445698,-1.210267087,0.773144301,-1.565383184,0.117493089,0.302066123
Atp2b4,2513.745372,-0.237934641,0.844800737,-0.281645873,0.778215062,0.892804045
Optc,9.531661729,-3.323692275,1.806840812,-1.83950476,0.065840978,0.208426364
Prelp,66.95437055,-4.37918167,1.727354689,-2.535195404,0.011238462,0.062951614
Fmod,7.459242405,-1.294501508,4.039751221,-0.320440898,0.748634127,0.879107419
Btg2,2092.171418,-0.525657084,0.435485956,-1.207058636,0.227409563,0.453163468
Chit1,5481.350248,-0.416451449,0.49025198,-0.849464083,0.395623108,0.623431923
Chil1,10595.92648,-0.096669041,0.733284726,-0.131830158,0.895118632,0.957613689
Mybph,75.30572552,-0.692914944,1.323402263,-0.523586035,0.600566496,0.789100324
Adora1,11.77993309,-5.06490176,1.603477219,-3.15869892,0.001584751,0.015184564
Myog,8.158373318,2.597395347,3.87691441,0.669964583,0.502880368,0.714964697
Ppfia4,176.8512187,-5.443466545,1.062854248,-5.121555055,3.03E-07,2.36E-05
Tmem183a,1483.654392,-0.169720242,0.324244788,-0.523432444,0.600673351,0.789135447
Cyb5r1,370.1424933,0.988309637,0.793801727,1.245033367,0.213119485,0.43567882
Adipor1,5431.025928,-0.668382456,0.491836679,-1.358952036,0.174161788,0.384692802
Klhl12,335.438663,-0.580161917,0.293854987,-1.974313666,0.048346088,0.171832593
Rabif,479.0458657,0.359015016,0.45058431,0.796776558,0.425580812,0.649291632
Kdm5b,1580.570749,0.071723309,0.508334391,0.141094741,0.887795098,0.953962306
Ppp1r12b,54.6879737,6.481519063,2.283379283,2.838564364,0.004531698,0.032652445
Ube2t,53.57721736,4.328071108,1.402633397,3.085675215,0.002030905,0.018231883
Lgr6,26.4796442,-0.807614595,1.599140095,-0.505030546,0.613537382,0.797912
Ptprv,53.7178074,-1.314485667,1.22388092,-1.074030688,0.282808928,0.515781465
Ptpn7,58.07006755,-1.15540271,0.879744851,-1.313338417,0.189068939,0.404368891
Arl8a,214.7617946,1.33752057,0.642371665,2.082159976,0.03732786,0.145535532
Elf3,241.8722004,-2.514703054,1.010993373,-2.487358593,0.01286956,0.069596156
Rnpep,605.3126023,1.157984763,0.546696305,2.118149972,0.034162369,0.137050755
Timm17a,750.8076797,0.112286194,0.686481321,0.163567733,0.870071448,0.944237827
Lmod1,98.883902,-5.650310939,2.862294152,-1.974049709,0.048376091,0.171832593
Shisa4,130.7962187,-7.665901875,2.651361041,-2.891308184,0.003836417,0.029126222
Ipo9,366.4740835,-0.503938672,0.525964076,-0.958123747,0.338000362,0.56985008
Nav1,118.62739,-1.52066972,0.935422315,-1.625650463,0.104024034,0.280214017
Csrp1,1415.397385,1.127861644,0.594683725,1.89657392,0.057884195,0.192277439
Phlda3,1660.507605,2.048567744,0.572735097,3.576815452,0.000347806,0.005036614
Tnni1,38.39007076,-5.083257813,1.599842644,-3.177348617,0.001486283,0.014475714
Lad1,4431.584478,-0.42042568,0.508176128,-0.827322767,0.408054143,0.634370233
Tnnt2,129.4756728,-1.759641826,0.624754562,-2.816532975,0.004854506,0.034302943
Pkp1,31894.37781,0.983376351,0.644414334,1.52600012,0.127009835,0.316857694
Tmem9,143.8855936,1.529269524,0.68181172,2.242949894,0.024900046,0.109652952
Cacna1s,673.2308606,-2.336673175,2.991180411,-0.781187643,0.43469214,0.657492718
